Table Name,Error, Number of Records Exported ,Exported Filename,Export Datetime,Time Taken,Destination Table Name, Number of Records Imported ,Error Message,
/home/sdev/ROOT/ERP/STCS PR Project Report,No,278698,STCS_PR_Project_Report_Aug-2023.csv,2/5/2024 16:47,-0.00011,PRD_STCS_PR_PROJECT_REPORT,278698,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_PR_Project_Report
/home/sdev/ROOT/ERP/ERP EMP/Dependant,No,2509,Copy of Outputs Outsourcing Depentadnts.csv,2/5/2024 16:42,-0.000108,PRD_OUTSOURCING_DEPENDANT,2509,,/u01/RA_OPS/Test_New_Loader/Final/ERP/ERP_EMP/Dependant
stc_marketplace_customers_deal,No,1698,stc_marketplace_customers_deal-2024_04_19.csv,5/5/2024 9:44,-7.10E-05,a_deals,1698,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
STCS_Corporate_Revenue_Report_new,No,3633,STCS_Corporate_Revenue_Report_new_Jan-2024.csv,1/16/2024 17:42,-0.000107,PRD_STCS_CORPORATE_REVREPORT,3633,,#N/A
/home/sdev/ROOT/Granite/MRS,No,6183,SKY_Dec-2023.csv,2/8/2024 12:32,-0.000107,PRD_GRANITE_MRS_FILES,6183,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
/home/sdev/ROOT/ERP/STCS On-Hand Quantity Report,No,1573,STCS On-Hand Quantity Report_Aug-2023.csv,3/7/2024 11:53,-0.000107,PRD_STCS_ON_HAND_QTY_PROJECT,1573,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_On-Hand_Quantity_Report
stc_marketplace_service_management_quantifiableitem,No,911,stc_marketplace_service_management_quantifiableitem-2024_01_12.csv,1/18/2024 11:01,-0.000103,A_QUANTIFIABLE_ITEM,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/Dynamics,No,6596,Product Detail_Jan-2024.csv,2/5/2024 17:13,-0.000102,PRD_DYNAMICS_PRODUCT_DETADV,6596,,/u01/RA_OPS/Test_New_Loader/Final/Dynamic/Dynamic_Product
stc_marketplace_customers_dealcustomservice,No,1153,stc_marketplace_customers_dealcustomservice-2024_04_19.csv,5/5/2024 9:44,-5.30E-05,A_CUSTOMERS_DEAL_CUSTOM_SERVICE,1153,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/Granite/MRS,No,25847,IPMW_Dec-2023.csv,2/8/2024 12:25,-0.000101,PRD_GRANITE_MRS_FILES,25847,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
stc_marketplace_service_management_item_units,No,310,stc_marketplace_service_management_item_units-2024_03_29.csv,4/3/2024 13:22,-0.0001,A_SERVICE_ITEM_UNIT,310,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/Granite/MRS,No,6183,SKY_Feb-2024.csv,2/8/2024 12:32,-9.30E-05,PRD_GRANITE_MRS_FILES,6183,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
stc_marketplace_service_management_product_translation,No,593,stc_marketplace_service_management_product_translation-2024_03_29.csv,4/3/2024 13:21,-9.30E-05,A_PRODUCT_TRANS,561,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
stc_marketplace_customers_deal,No,1651,stc_marketplace_customers_deal-2024_01_12.csv,1/18/2024 10:42,-9.10E-05,a_deals,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/ERP/ERP EMP/Payroll,No,725120,Copy of Outputs Outsourcing Payroll Run.csv,2/5/2024 16:45,-9.10E-05,PRD_OUTSOURCING_PAYROLL_RUN,725120,,/u01/RA_OPS/Test_New_Loader/Final/ERP/ERP_EMP/Payroll
stc_marketplace_service_management_item_translation,No,4539,stc_marketplace_service_management_item_translation-2024_01_12.csv,1/18/2024 11:19,-9.00E-05,A_PLAN_ITEM_TRANSLATION,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/Active Gatway/VSAT,No,5290,VSAT_Circuits_Jan-2024.csv,2/5/2024 16:31,-9.00E-05,PRD_ACTIVEVSAT,5290,,/u01/RA_OPS/Test_New_Loader/Final/VSAT
stc_marketplace_service_management_service_translation,No,923,stc_marketplace_service_management_service_translation-2024_01_12.csv,1/18/2024 11:02,-8.80E-05,A_SERVICE_TRANSLATION,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/Granite/MRS,No,5021,CBLS_Jan-2024.csv,2/8/2024 12:02,-8.80E-05,PRD_GRANITE_MRS_FILES,5021,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
/home/sdev/ROOT/Dynamics,No,2575,Active Order line - AwalISP_Nov-2023.csv,1/23/2024 14:27,-8.70E-05,PRD_DYNAMICS_AOL,2575,,/u01/RA_OPS/Test_New_Loader/Final/Dynamic/Dynamic_AOL
stc_marketplace_customers_deal,No,1667,stc_marketplace_customers_deal-2024_02_02.csv,2/5/2024 16:11,-8.70E-05,a_deals,1667,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/ERP/STCS I Supplier,No,11301,I-suplier_Jun-2023.csv,2/5/2024 16:47,-8.70E-05,PRD_STC_I_SUPPLIER,11301,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_I_Supplier
stc_marketplace_customers_dealcustomservice,No,1150,stc_marketplace_customers_dealcustomservice-2024_03_29.csv,4/3/2024 12:48,-8.70E-05,A_CUSTOMERS_DEAL_CUSTOM_SERVICE,1150,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
stc_marketplace_service_management_planitem,No,8615,stc_marketplace_service_management_planitem-2024_01_12.csv,1/18/2024 11:19,-8.60E-05,A_PLAN_TO_ITEM_MAPPING,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/Active Gatway/Cloud Connectivity,No,245,CloudConnectivity_Jan-2024.csv,2/5/2024 16:30,-8.60E-05,PRD_ACTIVECLOUDCONNECTIVITY,245,,/u01/RA_OPS/Test_New_Loader/Final/ACTIVECloudConnectivity
/home/sdev/ROOT/ERP/STCS PO_distribution,No,249613,PO_distribution_May-2023.csv,2/5/2024 16:42,-8.60E-05,PRD_PO_DISTRIBUTION,249613,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_PO_distribution
invoice_items_kb,No,2889465,invoice_items_kb-2024_03_29.csv,4/3/2024 13:44,-8.60E-05,PRD_CLOUD_KILLBILL_INVOICE_ITEMS,2889465,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/Granite/DIA,No,42065,DIAS_Apr-2024.csv,4/3/2024 15:43,-8.60E-05,PRD_GRANITE,42065,,/u01/RA_OPS/Test_New_Loader/Final/GraniteDIA
stc_marketplace_service_management_service_translation,No,924,stc_marketplace_service_management_service_translation-2024_02_02.csv,2/5/2024 16:49,-8.50E-05,A_SERVICE_TRANSLATION,923,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/ERP/STCS Customer Revenue Assurance Report,No,3095,STCS Customer Revenue Assurance Report_02-Jan-2024.csv,2/5/2024 16:11,-8.40E-05,prd_erp,3095,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_Customer_Revenue_Assurance_Report
/home/sdev/ROOT/ERP/STCS PR Project Report,No,254020,STCS_PR_Project_Report_2017-JAN-2023.csv,2/5/2024 16:46,-8.40E-05,PRD_STCS_PR_PROJECT_REPORT,254020,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_PR_Project_Report
/home/sdev/ROOT/Granite/MS,No,3204,MS_Jan-2024.csv,2/8/2024 12:02,-8.40E-05,PRD_GRANITE_MS,3204,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMS
vcd_customer_info,No,6253,vcd_customer_info-2024_02_02.csv,2/5/2024 17:11,-8.30E-05,PRD_VDC_FIN_CUSTOMER_INFO,6253,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/Granite/DIA,No,40717,DIAS_Feb-2024.csv,2/8/2024 12:36,-8.30E-05,PRD_GRANITE,40717,,/u01/RA_OPS/Test_New_Loader/Final/GraniteDIA
/home/sdev/ROOT/Dynamics,No,6750,Product Detail_Mar-2024.csv,4/3/2024 13:48,-8.30E-05,PRD_DYNAMICS_PRODUCT_DETADV,6750,,/u01/RA_OPS/Test_New_Loader/Final/Dynamic/Dynamic_Product
gls_revunue,No,269667,gls_revunue_Apr-2024.csv,4/15/2024 10:47,-8.30E-05,STC_GL_RBM_R,269667,,/u01/RA_OPS/Test_New_Loader/Final/gls
/home/sdev/ROOT/Active Gatway/MRS,No,23698,MRS_Circuits_Jan-2024.csv,2/5/2024 16:31,-8.20E-05,PRD_ACTIVEMRS,23697,,/u01/RA_OPS/Test_New_Loader/Final/ACTIVEMRS
stc_marketplace_service_management_product,No,509,stc_marketplace_service_management_product-2024_02_02.csv,2/5/2024 16:33,-8.20E-05,A_PRODUCT,509,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/ERP/STCS Move Orders Report,No,56538,STCS_Mover_Order_Report_May-2023.csv,2/5/2024 16:48,-8.20E-05,PRD_STCS_MOVER_ORDER_REPORT,56538,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_Move_Orders_Report
/home/sdev/ROOT/Granite/MRS,No,1611,SKH_Jan-2024.csv,2/8/2024 12:06,-8.20E-05,PRD_GRANITE_MRS_FILES,1611,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
/home/sdev/ROOT/Granite/VSAT,No,1339,SATIP_Feb-2024.csv,2/8/2024 12:37,-8.20E-05,PRD_GRANITE,1339,,/u01/RA_OPS/Test_New_Loader/Final/GraniteVSAT
/home/sdev/ROOT/Dynamics,No,48212,All_Orders_Mar-2024.csv,4/3/2024 13:49,-8.20E-05,PRD_DYNAMICS_ALLORDERS,48212,,/u01/RA_OPS/Test_New_Loader/Final/Dynamic/Dynamic_All_Orders
stc_marketplace_service_management_item,No,4028,stc_marketplace_service_management_item-2024_02_02.csv,2/5/2024 16:49,-8.10E-05,A_SERVICE_ITEM,4028,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
WorkOrders,No,65201,WorkOrders_Feb-2024.csv,2/7/2024 17:27,-8.10E-05,PRD_WORK_ORDER_TICKET,65201,,/u01/RA_OPS/Test_New_Loader/Final/ServiceNow
stc_marketplace_service_management_flavor_translation,No,6786,stc_marketplace_service_management_flavor_translation-2024_04_19.csv,5/5/2024 9:44,-4.70E-05,A_FLAVOR_TRANSLATION,6786,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
gls_revunue,No,317682,gls_revunue_Feb-2024.csv,2/5/2024 16:10,-8.00E-05,STC_GL_RBM_R,317682,,/u01/RA_OPS/Test_New_Loader/Final/gls
invoice_items_kb,No,2930328,invoice_items_kb-2024_04_19.csv,5/5/2024 10:06,-5.70E-05,A_KILLBILL_INVOICES_ITEMS,2930328,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/Dynamics,No,46471,All_Orders_Nov-2023.csv,1/23/2024 14:27,-7.90E-05,PRD_DYNAMICS_ALLORDERS,46471,,/u01/RA_OPS/Test_New_Loader/Final/Dynamic/Dynamic_All_Orders
/home/sdev/ROOT/Granite/VSAT,No,6631,SATNET_Feb-2024.csv,2/8/2024 12:37,-7.90E-05,PRD_GRANITE,6631,,/u01/RA_OPS/Test_New_Loader/Final/GraniteVSAT
stc_marketplace_service_management_phase,No,8708,stc_marketplace_service_management_phase-2024_04_19.csv,5/5/2024 10:07,-6.90E-05,a_phase,8708,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
stc_marketplace_service_management_flavor,No,6373,stc_marketplace_service_management_flavor-2024_04_19.csv,5/5/2024 10:07,-6.50E-05,A_FLAVOR,6373,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
stc_marketplace_service_management_phaseprice,No,13617,stc_marketplace_service_management_phaseprice-2024_04_19.csv,5/5/2024 10:07,-6.40E-05,A_PHASE_PRICE,13617,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
stc_marketplace_service_management_item,No,4028,stc_marketplace_service_management_item-2024_01_12.csv,1/18/2024 11:02,-7.70E-05,A_SERVICE_ITEM,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/ERP/STCS AR Invoice with original amount report,No,6076,STCS AR Invoice with original amount report_Oct-2022.csv,2/5/2024 16:36,-7.70E-05,PRD_STCS_AR_INVOICE_WITH_ORIGINAL_AMOUNT_REPORT,6076,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_AR_Invoice_with_original_amount_report
invoice_items_kb,No,2782359,invoice_items_kb-2024_02_02.csv,2/5/2024 17:10,-7.70E-05,PRD_CLOUD_KILLBILL_INVOICE_ITEMS,2782359,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
WorkOrders,No,67665,WorkOrders_Apr-2024.csv,4/3/2024 13:50,-7.60E-05,PRD_WORK_ORDER_TICKET,67665,,/u01/RA_OPS/Test_New_Loader/Final/ServiceNow
/home/sdev/ROOT/Active Gatway/Shabik,No,382,Shabik_Circuits_Nov-2022.csv,31:56.5,-7.40E-05,PRD_ACTIVESHABIK,382,,#N/A
stc_marketplace_service_management_plan,No,3715,stc_marketplace_service_management_plan-2024_01_12.csv,1/18/2024 11:01,-6.20E-05,A_PLAN,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/ERP/STCS Customer Revenue Assurance Report,No,3323,STCS Customer Revenue Assurance Report_02-Dec-2023.csv,1/16/2024 16:39,-7.30E-05,prd_erp,3323,,#N/A
/home/sdev/ROOT/ERP/STCS AR Invoice with original amount report,No,5935,STCS AR Invoice with original amount report_Nov-2022.csv,2/5/2024 16:36,-7.30E-05,PRD_STCS_AR_INVOICE_WITH_ORIGINAL_AMOUNT_REPORT,5935,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_AR_Invoice_with_original_amount_report
PO_COSTING,No,95017,PO_COSTING_Feb-2024.csv,2/5/2024 16:38,-7.30E-05,PRD_PROJECT_AP_PO_REPORT,95017,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_AP_and_PO_Costing_Report
/home/sdev/ROOT/Dynamics,No,47381,All_Orders_Jan-2024.csv,2/5/2024 17:13,-7.30E-05,PRD_DYNAMICS_ALLORDERS,47381,,/u01/RA_OPS/Test_New_Loader/Final/Dynamic/Dynamic_All_Orders
vcd_customer_info,No,6305,vcd_customer_info-2024_03_25.csv,4/3/2024 13:45,-7.30E-05,PRD_VDC_FIN_CUSTOMER_INFO,6305,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/Granite/VSAT,No,5,SATMHz_Apr-2024.csv,5/5/2024 10:07,-4.10E-05,PRD_GRANITE,5,,/u01/RA_OPS/Test_New_Loader/Final/GraniteVSAT
gls_revunue,No,591382,gls_revunue_Jan-2024.csv,1/21/2024 14:25,-7.20E-05,STC_GL_RBM_R,/u01/RA_OPS/Test_New_Loader/Final/gls,,
/home/sdev/ROOT/Active Gatway/MODAR,No,1515,Modar_Circuits_Jan-2024.csv,2/5/2024 16:30,-7.20E-05,PRD_ACTIVEMODAR,1515,,/u01/RA_OPS/Test_New_Loader/Final/ACTIVEMODAR
/home/sdev/ROOT/Granite/MRS,No,5922,ATMMVPN_Dec-2023.csv,2/8/2024 12:25,-7.20E-05,PRD_GRANITE_MRS_FILES,5922,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
/home/sdev/ROOT/Granite/MRS,No,1611,SKH_Feb-2024.csv,2/8/2024 12:32,-7.20E-05,PRD_GRANITE_MRS_FILES,1611,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
/home/sdev/ROOT/ERP/STCS AR Invoice with original amount report,No,5159,STCS AR Invoice with original amount report_Apr-2022.csv,2/5/2024 16:33,-7.10E-05,PRD_STCS_AR_INVOICE_WITH_ORIGINAL_AMOUNT_REPORT,5159,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_AR_Invoice_with_original_amount_report
/home/sdev/ROOT/Granite/MS,No,3198,MS_Dec-2023.csv,2/6/2024 10:27,-7.10E-05,PRD_GRANITE_MS,3198,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMS
/home/sdev/ROOT/Granite/MRS,No,5039,CBLS_Feb-2024.csv,2/8/2024 12:25,-7.10E-05,PRD_GRANITE_MRS_FILES,5039,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
/home/sdev/ROOT/ERP/STCS Project Advances Details Report,No,22,STCS Project Advances Details Report_02-Jan-2024.csv,3/7/2024 11:53,-7.10E-05,PRD_STCS_PROJECT_ADVANCES_DETAILS,22,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_Project_Advances_Details_Report
stc_marketplace_service_management_item,No,4080,stc_marketplace_service_management_item-2024_04_19.csv,5/5/2024 10:08,-0.00012,A_SERVICE_ITEM,4080,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
STCS_Corporate_Revenue_Report_new,No,3298,STCS_Corporate_Revenue_Report_new_May-2024.csv,5/5/2024 10:08,-0.000117,PRD_STCS_CORPORATE_REVREPORT,3298,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_Corporate_Revenue_Report
stc_marketplace_service_management_quantifiableitem_translation,No,984,stc_marketplace_service_management_quantifiableitem_translation-2024_04_19.csv,5/5/2024 10:08,-0.000102,A_QUANTIFIABLE_ITEM_TRANSLATION,984,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
stc_marketplace_service_management_product,No,509,stc_marketplace_service_management_product-2024_04_19.csv,5/5/2024 10:08,-7.80E-05,A_PRODUCT,509,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
stc_marketplace_service_management_pricelist,No,16135,stc_marketplace_service_management_pricelist-2024_01_12.csv,1/18/2024 10:40,-7.00E-05,A_PRICE_LIST,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/Granite/MRS,No,42209,MDIA_Jan-2024.csv,2/8/2024 12:06,-7.00E-05,PRD_GRANITE_MRS_FILES,42209,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
/home/sdev/ROOT/ERP/STCS On-Hand Quantity Report,No,1145,STCS On-Hand Quantity Report_02-Dec-2023.csv,3/7/2024 11:53,-7.00E-05,PRD_STCS_ON_HAND_QTY_PROJECT,1145,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_On-Hand_Quantity_Report
stc_marketplace_service_management_item_units,No,310,stc_marketplace_service_management_item_units-2024_04_19.csv,5/5/2024 10:08,-7.80E-05,A_SERVICE_ITEM_UNIT,310,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
stc_marketplace_service_management_planprice,No,8651,stc_marketplace_service_management_planprice-2024_04_19.csv,5/5/2024 10:08,-7.00E-05,A_PLAN_PRICE,8651,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
stc_marketplace_service_management_phaseprice,No,13453,stc_marketplace_service_management_phaseprice-2024_01_12.csv,1/18/2024 11:01,-6.90E-05,A_PHASE_PRICE,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/ERP/STCS AR Invoice with original amount report,No,6813,STCS AR Invoice with original amount report_Jan-2022.csv,2/5/2024 16:34,-6.90E-05,PRD_STCS_AR_INVOICE_WITH_ORIGINAL_AMOUNT_REPORT,6813,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_AR_Invoice_with_original_amount_report
/home/sdev/ROOT/ERP/STCS Project Inventory Report,No,720,STCS Project Inventory Report_Aug-2023.csv,2/5/2024 16:38,-6.90E-05,PRD_PROJECT_INVENTORY_REPORT,720,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_Project_Inventory_Report
PROJECT_INVOICE_DTL,No,543164,PROJECT_INVOICE_DTL_Feb-2024.csv,2/7/2024 14:58,-6.90E-05,PRD_STCS_PROJECT_INVOICE_DETAILS_FOR_REVENUE_ASSUARANCE_REPORT,543164,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_Project_Invoice_Details_for_Revenue_Assuarance
stc_marketplace_service_management_phase,No,8698,stc_marketplace_service_management_phase-2024_03_29.csv,4/3/2024 13:10,-6.90E-05,a_phase,8698,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/ERP/STCS On-Hand Quantity Report,No,1138,STCS On-Hand Quantity Report_02-Apr-2024.csv,5/5/2024 10:08,-6.20E-05,PRD_STCS_ON_HAND_QTY_PROJECT,1138,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_On-Hand_Quantity_Report
stc_marketplace_service_management_plan_translation,No,4362,stc_marketplace_service_management_plan_translation-2024_01_12.csv,1/18/2024 11:01,-6.80E-05,A_PLAN_TRANSLATION,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/ERP/Invoices Without PO,No,65,Invoices_without_PO_May-2023.csv,2/5/2024 16:48,-6.80E-05,PRD_INVOICES_WITHOUT_PO,65,,/u01/RA_OPS/Test_New_Loader/Final/ERP/Invoices_Without_PO
stc_marketplace_service_management_product_translation,No,593,stc_marketplace_service_management_product_translation-2024_02_02.csv,2/5/2024 16:49,-6.80E-05,A_PRODUCT_TRANS,561,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/Granite/MRS,No,2473,CBLSMW_Dec-2023.csv,2/8/2024 12:25,-6.80E-05,PRD_GRANITE_MRS_FILES,2473,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
/home/sdev/ROOT/Active Gatway/MODAR,No,1547,Modar_Circuits_Mar-2024.csv,4/3/2024 13:11,-6.80E-05,PRD_ACTIVEMODAR,1547,,/u01/RA_OPS/Test_New_Loader/Final/ACTIVEMODAR
stc_marketplace_service_management_quantifiableitem,No,943,stc_marketplace_service_management_quantifiableitem-2024_04_19.csv,5/5/2024 10:08,-5.80E-05,A_QUANTIFIABLE_ITEM,943,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
stc_marketplace_customers_dealcustomservice,No,1127,stc_marketplace_customers_dealcustomservice-2024_01_12.csv,1/18/2024 10:42,-6.70E-05,A_CUSTOMERS_DEAL_CUSTOM_SERVICE,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
stc_marketplace_service_management_planprice,No,8558,stc_marketplace_service_management_planprice-2024_01_12.csv,1/18/2024 11:01,-6.70E-05,A_PLAN_PRICE,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
stc_marketplace_service_management_quantifiableitem_translation,No,952,stc_marketplace_service_management_quantifiableitem_translation-2024_01_12.csv,1/18/2024 11:02,-6.70E-05,A_QUANTIFIABLE_ITEM_TRANSLATION,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
stc_marketplace_service_management_service,No,801,stc_marketplace_service_management_service-2024_01_12.csv,1/18/2024 11:02,-6.70E-05,A_SERVICE,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
